agent_id,age,born_in_us,city,detailed_race,ethnicity,family_income_at_16,family_structure_at_16,fathers_highest_degree,first_name,highest_degree_received,hispanic_origin,last_name,marital_status,military_service_duration,mothers_highest_degree,mothers_work_history,party_identification,political_views,race,religion,religion_at_16,residence_at_16,same_residence_since_16,sex,speak_other_language,state,street_address,total_wealth,us_citizenship_status,work_status
2104,34,No,Jersey City,Hispanic or Latino,Ecuador,Average,"Divorce, separated",Less than high school,Cristian,Bachelor's,Not Hispanic,Luna,Never married,No active duty,Less than high school,Yes,"Independent, close to democrat","Moderate, middle of the road",Other,Christian,Catholic,Middle Atlantic,"Same state, different city",Male,Yes,NJ,123 Elm Street,"$40,000 to $75,000",Not a U.S. citizen,Working full time
2252,34,Yes,Hoboken,White,Italy,Average,Lived with parents,Less than high school,Claudia,Bachelor's,Not Hispanic,Reyna,Never married,No active duty,High school,Yes,"Independent (neither, no response)","Moderate, middle of the road",White,Catholic,Catholic,Middle Atlantic,Same city,Female,No,NJ,123 Maplewood Ave,"$75,000 to $100,000",A U.S. citizen,Working full time
1291,35,No,Boulder,Asian,Iraq,Above average,Lived with parents,Less than high school,Zara,Bachelor's,Not Hispanic,Hassan,Married,No active duty,Less than high school,Yes,"Independent, close to democrat",Slightly liberal,Other,Orthodox-Christian,Orthodox-Christian,Mountain,Same city,Female,Yes,CO,123 Mountain View Drive,"$40,000 to $75,000",A U.S. citizen,Keeping house
1091,36,Yes,Chicago,Black or African American,South Africa,Below average,Lived with parents,Less than high school,Tammy,Bachelor's,Not Hispanic,Johnson,Never married,No active duty,High school,Yes,Strong democrat,"Moderate, middle of the road",Black,None,Protestant,East North Central,Same city,Female,No,IL,2458 Elmwood Drive,"$20,000 to $40,000",A U.S. citizen,Working full time
2064,36,Yes,Boulder,Native American or Alaska Native,American Indian,Average,Lived with parents,Less than high school,Megan,Bachelor's,Not Hispanic,Klein,Married,No active duty,Associate/junior college,Yes,"Independent, close to democrat",Liberal,White,Jewish,Jewish,Mountain,Same city,Female,Yes,CO,456 Aspen Lane,"$20,000 to $40,000",A U.S. citizen,Working full time
2728,36,Yes,Philadelphia,Hispanic or Latino,Puerto Rico,Below average,Lived with parents,Less than high school,Antonio,Bachelor's,Not Hispanic,Ramirez,Married,"Yes, more than 4 years",Less than high school,Yes,Not very strong democrat,"Moderate, middle of the road",Other,Catholic,Catholic,Middle Atlantic,Same city,Male,Yes,PA,123 Elmwood Avenue,"Less than $5,000",A U.S. citizen,Working full time
0558,39,No,Miami,White,Spain,Below average,"Divorce, separated",Less than high school,Maria,Bachelor's,Not Hispanic,Lopez,Married,No active duty,Less than high school,Yes,"Independent (neither, no response)",Conservative,White,Catholic,Catholic,Foreign,Different state,Female,No,FL,123 Elm Street,"$5,000 to $20,000",Not a U.S. citizen,Working full time
3104,39,Yes,Houston,Hispanic or Latino,Mexico,Below average,Lived with parents,Less than high school,Maria,Bachelor's,Not Hispanic,Garcia,Separated,No active duty,Less than high school,No,Not very strong democrat,"Moderate, middle of the road",White,Other,Protestant,West South Central,Same city,Female,Yes,TX,123 Elm St,"$5,000 to $20,000",A U.S. citizen,Keeping house
3158,39,No,Albuquerque,Hispanic or Latino,Mexico,Far below average,Lived with parents,Less than high school,Jessica,Bachelor's,Not Hispanic,Vargas,Married,No active duty,Less than high school,No,"Independent (neither, no response)",Conservative,White,Christian,Protestant,Foreign,Different state,Female,Yes,NM,1234 El Camino Real,"Less than $5,000",A U.S. citizen,Keeping house
1983,40,Yes,Evanston,White,Spain,Average,Lived with parents,Less than high school,Gabriel,Bachelor's,Not Hispanic,Gonzalez,Married,No active duty,Associate/junior college,Yes,"Independent, close to democrat",Liberal,White,None,Catholic,East North Central,"Same state, different city",Male,Yes,IL,1234 Maple Avenue,"$75,000 to $100,000",A U.S. citizen,Working full time
1152,41,Yes,San Diego,White,England & Wales,Average,Lived with parents,Less than high school,Jeffrey,Bachelor's,Not Hispanic,Johnson,Divorced,No active duty,Associate/junior college,Yes,"Independent, close to republican","Moderate, middle of the road",White,Protestant,Catholic,Pacific,Different state,Male,No,CA,1234 Ocean View Drive,"$150,000 to $250,000",A U.S. citizen,Working full time
1240,41,Yes,Boise,White,American only,Above average,Lived with parents,Less than high school,Heather,Bachelor's,Not Hispanic,Johnson,Divorced,No active duty,High school,Yes,"Independent (neither, no response)",Extremely conservative,White,Catholic,Catholic,Foreign,Different state,Female,No,ID,1426 Laurel Avenue,"Less than $5,000",A U.S. citizen,Working part time
0382,20,Yes,Eugene,Black or African American,Other Africa,Average,"Other (left home before 16, e.g., for school)",High school,Precious,Bachelor's,Not Hispanic,Jackson,Never married,No active duty,Bachelor's,Yes,"Independent (neither, no response)","Moderate, middle of the road",Black,None,Protestant,Pacific,"Same state, different city",Female,No,OR,123 Elmwood Ave,"Less than $5,000",A U.S. citizen,Working part time
3003,21,Yes,Chicago,Black or African American,Nigeria,Below average,"Divorce, separated",High school,Elijah,Bachelor's,Not Hispanic,Mosier,Never married,No active duty,Associate/junior college,Yes,"Independent, close to republican",Extremely liberal,Black,Protestant,Orthodox-Christian,East North Central,Different state,Male,No,IL,123 Elmwood Avenue,"$40,000 to $75,000",A U.S. citizen,Working full time
2951,22,Yes,Ann Arbor,White,Italy,Average,"Divorce, separated",High school,Christine,Bachelor's,Not Hispanic,Garcia,Never married,No active duty,Graduate,Yes,Strong democrat,Slightly liberal,White,Protestant,Catholic,East North Central,"Same state, different city",Female,No,MI,123 Oakwood Drive,"$40,000 to $75,000",A U.S. citizen,Working full time
0516,23,Yes,Des Moines,White,Norway,Average,Lived with parents,High school,Laura,Bachelor's,Not Hispanic,Johnson,Never married,No active duty,Bachelor's,Yes,Not very strong republican,Slightly conservative,White,Protestant,Protestant,West North Central,Same city,Female,No,IA,1256 Maple Avenue,"$20,000 to $40,000",A U.S. citizen,Working full time
1864,23,Yes,Bozeman,White,Ireland,Average,Lived with parents,High school,Ryan,Bachelor's,Not Hispanic,Hobbs,Never married,No active duty,Graduate,Yes,"Independent, close to democrat",Slightly liberal,White,None,Catholic,Mountain,Different state,Male,No,MT,1234 Aspen Grove Lane,"$20,000 to $40,000",A U.S. citizen,Working full time
2913,23,Yes,Boston,White,Italy,Above average,Lived with parents,High school,Samantha,Bachelor's,Not Hispanic,Rossi,Never married,No active duty,Graduate,Yes,Strong democrat,Extremely liberal,White,None,Catholic,New England,Same city,Female,No,MA,123 Elm Street,"Less than $5,000",A U.S. citizen,"With a job, but not at work because of temporary illness, vacation, strike"
0135,24,Yes,Philadelphia,White,Italy,Average,"Divorce, separated",High school,Jessica,Bachelor's,Not Hispanic,Romig,Never married,No active duty,Graduate,Yes,"Independent, close to democrat",Slightly liberal,White,None,None,Middle Atlantic,Same city,Female,Yes,PA,123 Elmwood Avenue,"$20,000 to $40,000",A U.S. citizen,Working full time
0860,24,Yes,Lansing,White,Germany,Below average,"Divorce, separated",High school,Katherine,Bachelor's,Not Hispanic,Wright,Never married,No active duty,Bachelor's,Yes,Strong republican,Conservative,White,Protestant,Protestant,East North Central,"Same state, different city",Female,No,MI,1241 Maplewood Ave,"Less than $5,000",A U.S. citizen,Working full time
2157,24,Yes,San Jose,Hispanic or Latino,Mexico,Average,Lived with parents,High school,Sophia,Bachelor's,Not Hispanic,Gomez,Never married,No active duty,Less than high school,No,Not very strong democrat,"Moderate, middle of the road",White,Protestant,Protestant,Pacific,Same city,Female,Yes,CA,1234 Elmwood Avenue,"$20,000 to $40,000",A U.S. citizen,Working full time
2736,24,Yes,New York,Black or African American,Nigeria,Average,Lived with parents,High school,Emmanuel,Bachelor's,Not Hispanic,Johnson,Never married,No active duty,Graduate,Yes,Not very strong democrat,Liberal,Black,Catholic,Catholic,Middle Atlantic,Same city,Male,No,NY,1500 Park Avenue,"$100,000 to $150,000",A U.S. citizen,Working full time
3476,24,Yes,Chicago,White,England & Wales,Average,Lived with parents,High school,Meredith,Bachelor's,Not Hispanic,Burgreen,Never married,No active duty,High school,Yes,Not very strong democrat,"Moderate, middle of the road",White,None,Protestant,East North Central,"Same state, different city",Female,No,IL,1234 West Belmont Ave,"$20,000 to $40,000",A U.S. citizen,Keeping house
0822,25,Yes,Providence,White,Italy,Average,Lived with parents,High school,Anthony,Bachelor's,Not Hispanic,Santana,Never married,No active duty,Associate/junior college,Yes,Not very strong democrat,Liberal,White,None,None,New England,"Same state, different city",Male,Yes,RI,123 Elm Street,"$100,000 to $150,000",A U.S. citizen,Working full time
0979,25,Yes,Los Angeles,Hispanic or Latino,Mexico,Below average,Lived with parents,High school,Miguel,Bachelor's,Not Hispanic,Garcia,Never married,No active duty,Less than high school,No,Not very strong democrat,"Moderate, middle of the road",Other,Catholic,Catholic,Pacific,Same city,Male,Yes,CA,1234 Maplewood Ave,"Less than $5,000",A U.S. citizen,Working full time
1175,25,Yes,Madison,White,France,Above average,Lived with parents,High school,Catherine,Bachelor's,Not Hispanic,Martin,Never married,No active duty,High school,Yes,Not very strong democrat,Slightly liberal,White,None,Catholic,East North Central,"Same state, different city",Female,No,WI,123 Elm Street,"Less than $5,000",A U.S. citizen,Working part time
1939,25,Yes,Charlotte,White,Other North America,Average,Lived with parents,High school,Heather,Bachelor's,Not Hispanic,Wilson,Never married,No active duty,Associate/junior college,Yes,"Independent, close to democrat","Moderate, middle of the road",White,Protestant,Protestant,South Atlantic,Same city,Female,No,NC,1253 Magnolia Ave,"$40,000 to $75,000",A U.S. citizen,Working full time
3011,25,Yes,Raleigh,White,England & Wales,Below average,Lived with parents,High school,Matthew,Bachelor's,Not Hispanic,Collins,Never married,No active duty,High school,Yes,Other party,Extremely liberal,White,None,Catholic,South Atlantic,Same city,Male,No,NC,1234 Peachtree Lane,"$20,000 to $40,000",A U.S. citizen,Working full time
3126,25,Yes,Newark,Hispanic or Latino,Dominican Republic,Below average,Lived with parents,High school,Natalie,Bachelor's,Not Hispanic,Gonzalez,Married,No active duty,High school,Yes,Not very strong democrat,Slightly liberal,White,Catholic,Catholic,Middle Atlantic,Same city,Female,Yes,NJ,123 Greenway Ave,"Less than $5,000",A U.S. citizen,Working full time
0006,26,Yes,Raleigh,Hispanic or Latino,Puerto Rico,Below average,Lived with parents,High school,Juan,Bachelor's,Not Hispanic,Rodriguez,Never married,No active duty,High school,Yes,Not very strong democrat,Liberal,White,None,Other,South Atlantic,"Same state, different city",Male,Yes,NC,123 Elm Street,"Less than $5,000",A U.S. citizen,Working full time
0803,26,Yes,Des Moines,Black or African American,American Indian,Below average,Lived with parents,High school,Marcus,Bachelor's,Not Hispanic,Johnson,Never married,No active duty,High school,Yes,"Independent (neither, no response)","Moderate, middle of the road",Black,None,Protestant,West North Central,Same city,Male,Yes,IA,123 Elmwood Avenue,"$20,000 to $40,000",A U.S. citizen,Working full time
1568,26,Yes,Des Moines,White,Norway,Far above average,Lived with parents,High school,Eric,Bachelor's,Not Hispanic,Olson,Married,"Yes, more than 4 years",Less than high school,Yes,"Independent, close to republican","Moderate, middle of the road",White,None,None,West North Central,Same city,Male,No,IA,123 Prairie View Lane,"$75,000 to $100,000",A U.S. citizen,Working full time
1572,26,Yes,Chicago,Hispanic or Latino,Puerto Rico,Below average,Lived with parents,High school,Sergio,Bachelor's,Not Hispanic,Rodriguez,Never married,No active duty,Bachelor's,Yes,Not very strong democrat,Extremely liberal,Other,None,Protestant,East North Central,Same city,Male,No,IL,1234 Elm St,"Less than $5,000",A U.S. citizen,Other
1771,26,Yes,Scranton,White,Poland,Below average,Lived with parents,High school,Emma,Bachelor's,Not Hispanic,Mattson,Never married,No active duty,Less than high school,Yes,"Independent, close to democrat",Liberal,White,None,Catholic,Middle Atlantic,Different state,Female,Yes,PA,472 Maple Avenue,"$20,000 to $40,000",A U.S. citizen,Working full time
2698,26,Yes,Houston,Black or African American,Other Africa,Below average,Lived with parents,High school,Chloe,Bachelor's,Not Hispanic,Johnson,Married,No active duty,High school,Yes,Not very strong democrat,"Moderate, middle of the road",Black,Protestant,Protestant,West South Central,Same city,Female,No,TX,123 Magnolia Ave,"$100,000 to $150,000",A U.S. citizen,Working full time
2836,26,Yes,Atlanta,Black or African American,Other Africa,Below average,Lived with parents,High school,Eric,Bachelor's,Not Hispanic,Johnson,Never married,No active duty,High school,Yes,Strong democrat,Liberal,Black,Christian,None,South Atlantic,Different state,Male,No,GA,2348 Peachtree St,"Less than $5,000",A U.S. citizen,Working full time
3058,26,Yes,Berkeley,Asian,Other Asian,Far below average,Lived with parents,High school,Arianna,Bachelor's,Not Hispanic,Cheng,Never married,No active duty,High school,No,"Independent (neither, no response)",Liberal,Other,None,Other,Pacific,Same city,Female,Yes,CA,1234 Maplewood Ave,"Less than $5,000",A U.S. citizen,Working full time
1470,27,Yes,Charleston,Hispanic or Latino,Panama,Average,"Divorce, separated",High school,Carlos,Bachelor's,Not Hispanic,Fernandez,Never married,No active duty,Bachelor's,No,"Independent (neither, no response)",Liberal,White,None,None,South Atlantic,"Same state, different city",Male,No,SC,1234 Magnolia Ave,"$20,000 to $40,000",A U.S. citizen,Working full time
1693,27,Yes,Dallas,Black or African American,South Africa,Above average,Lived with parents,High school,Naomi,Bachelor's,Not Hispanic,Mbatha,Never married,No active duty,High school,Yes,"Independent (neither, no response)","Moderate, middle of the road",Black,Hinduism,Orthodox-Christian,West South Central,"Same state, different city",Female,No,TX,789 Willow Bend Lane,"$500,000 to $1 million",A U.S. citizen,Working full time
2047,27,No,Allentown,Asian,China,Below average,"Divorce, separated",High school,Victor,Bachelor's,Not Hispanic,Takahashi,Never married,"Yes, less than 2 years",Bachelor's,Yes,"Independent, close to republican","Moderate, middle of the road",Other,None,None,Middle Atlantic,Different state,Male,Yes,PA,123 Elm Street,"Less than $5,000",A U.S. citizen,Working part time
2429,27,Yes,Birmingham,White,Other European,Below average,Lived with parents,High school,Ryan,Bachelor's,Not Hispanic,Collins,Never married,No active duty,Bachelor's,Yes,Not very strong democrat,Liberal,White,None,Catholic,East South Central,Same city,Male,No,AL,123 Maplewood Drive,"Less than $5,000",A U.S. citizen,Working full time
0515,28,Yes,Philadelphia,Native American or Alaska Native,American Indian,Average,Lived with parents,High school,Andrew,Bachelor's,Not Hispanic,Johnson,Never married,No active duty,High school,Yes,"Independent, close to democrat","Moderate, middle of the road",White,Catholic,Catholic,Middle Atlantic,Same city,Male,No,PA,1526 Elmwood Avenue,"$40,000 to $75,000",A U.S. citizen,Working full time
1254,28,Yes,Naperville,White,Italy,Average,Lived with parents,High school,Rachel,Bachelor's,Not Hispanic,Carter,Married,No active duty,High school,Yes,Strong republican,Extremely conservative,White,Protestant,Protestant,East North Central,"Same state, different city",Female,No,IL,1234 Oakwood Drive,"$40,000 to $75,000",A U.S. citizen,Keeping house
1666,28,Yes,Seattle,White,Ireland,Above average,Lived with parents,High school,Brian,Bachelor's,Not Hispanic,Olivier,Never married,No active duty,High school,No,Not very strong democrat,Slightly liberal,White,None,None,Pacific,"Same state, different city",Male,No,WA,1234 Pine Street,"$75,000 to $100,000",A U.S. citizen,Working full time
2248,28,Yes,Scranton,Hispanic or Latino,Puerto Rico,Far below average,"Divorce, separated",High school,Ana,Bachelor's,Not Hispanic,Garcia,Married,No active duty,Less than high school,No,"Independent (neither, no response)","Moderate, middle of the road",Other,None,Protestant,Middle Atlantic,"Same state, different city",Female,Yes,PA,123 Elm Street,"Less than $5,000",A U.S. citizen,In school
2260,28,Yes,San Diego,Hispanic or Latino,Mexico,Above average,Lived with parents,High school,Maria,Bachelor's,Not Hispanic,Sanchez,Never married,No active duty,High school,Yes,Not very strong democrat,Slightly liberal,White,Catholic,Catholic,Pacific,"Same state, different city",Female,Yes,CA,1234 Ocean Breeze Blvd,"$75,000 to $100,000",A U.S. citizen,Working full time
2529,28,Yes,Oakland,Black or African American,Other Africa,Below average,Lived with parents,High school,Christopher,Bachelor's,Not Hispanic,Johnson,Married,No active duty,High school,Yes,"Independent (neither, no response)",Extremely conservative,Black,Protestant,Protestant,Pacific,Same city,Male,No,CA,1234 Elmwood Avenue,"Less than $5,000",A U.S. citizen,Working full time
3389,28,Yes,Evanston,White,Germany,Average,Lived with parents,High school,Kevin,Bachelor's,Not Hispanic,Horton,Married,No active duty,Bachelor's,Yes,"Independent (neither, no response)","Moderate, middle of the road",White,Catholic,Catholic,East North Central,"Same state, different city",Male,No,IL,1234 Oakwood Avenue,"$40,000 to $75,000",A U.S. citizen,Working full time
1072,29,Yes,Charleston,White,Poland,Below average,Lived with parents,High school,Emily,Bachelor's,Not Hispanic,Anderson,Never married,No active duty,Associate/junior college,Yes,Other party,Extremely liberal,White,None,None,South Atlantic,"Same state, different city",Female,No,SC,123 Pine Street,"$20,000 to $40,000",A U.S. citizen,Working full time
1120,29,Yes,Philadelphia,Black or African American,Other Africa,Far below average,Lived with parents,High school,Angela,Bachelor's,Not Hispanic,Williams,Never married,No active duty,Graduate,Yes,"Independent (neither, no response)",Extremely liberal,Black,None,None,Middle Atlantic,Same city,Female,No,PA,123 Elmwood Avenue,"$5,000 to $20,000",A U.S. citizen,Working full time
1155,29,Yes,Plano,Hispanic or Latino,Mexico,Far below average,Lived with parents,High school,Alyssa,Bachelor's,Not Hispanic,Lopez,Married,No active duty,Less than high school,Yes,Not very strong republican,Conservative,Other,Protestant,Catholic,West South Central,Different state,Female,No,TX,1234 Oak Ridge Drive,"$150,000 to $250,000",A U.S. citizen,Working full time
1488,29,Yes,Portland,Hispanic or Latino,Mexico,Below average,Lived with parents,High school,Andrew,Bachelor's,Not Hispanic,Gonzalez,Never married,No active duty,High school,No,Not very strong democrat,Liberal,White,None,Catholic,Pacific,"Same state, different city",Male,Yes,OR,1234 Pine Street,"Less than $5,000",A U.S. citizen,"Unemployed, laid off, looking for work"
1661,29,Yes,San Francisco,White,Italy,Above average,Lived with parents,High school,Anthony,Bachelor's,Not Hispanic,Moreau,Never married,No active duty,Bachelor's,No,Not very strong republican,Slightly conservative,White,None,Protestant,Pacific,"Same state, different city",Male,No,CA,1284 Oceanview Blvd,"$40,000 to $75,000",A U.S. citizen,Working full time
1892,29,Yes,Philadelphia,Asian,China,Below average,Lived with parents,High school,Lydia,Bachelor's,Not Hispanic,Huang,Never married,No active duty,High school,Yes,Strong democrat,Extremely liberal,Other,Buddhism,Buddhism,Middle Atlantic,Same city,Female,Yes,PA,123 Elm Street,"$40,000 to $75,000",A U.S. citizen,Working part time
2386,29,Yes,Portland,White,Italy,Average,Lived with parents,High school,Stephanie,Bachelor's,Not Hispanic,Henderson,Never married,No active duty,High school,No,"Independent, close to democrat",Slightly liberal,White,None,None,Pacific,"Same state, different city",Female,No,OR,1234 Maplewood Ave,"$40,000 to $75,000",A U.S. citizen,Working full time
2632,29,Yes,Chicago,Black or African American,Other Africa,Below average,Institution,High school,Eric,Bachelor's,Not Hispanic,Lewis,Never married,No active duty,Associate/junior college,Yes,"Independent (neither, no response)",Extremely liberal,Black,None,Protestant,East North Central,Same city,Male,Yes,IL,1234 Elmwood Avenue,"$20,000 to $40,000",A U.S. citizen,Working part time
2720,29,Yes,New York,Asian,China,Above average,Lived with parents,High school,Sophia,Bachelor's,Not Hispanic,Chan,Never married,No active duty,Graduate,Yes,Not very strong democrat,Slightly liberal,Other,Protestant,Protestant,Middle Atlantic,Same city,Female,Yes,NY,123 Park Avenue,"$150,000 to $250,000",A U.S. citizen,Working full time
2916,29,Yes,Seattle,Asian,Thailand,Average,Lived with parents,High school,Lori,Bachelor's,Not Hispanic,Santiago,Never married,No active duty,High school,Yes,"Independent, close to democrat",Slightly conservative,Other,Protestant,Protestant,Pacific,Same city,Female,Yes,WA,1234 Evergreen Terrace,"$40,000 to $75,000",A U.S. citizen,Working part time
3170,29,Yes,Philadelphia,Black or African American,Other Africa,Below average,Lived with parents,High school,Brianna,Bachelor's,Not Hispanic,Johnson,Never married,No active duty,High school,Yes,Not very strong democrat,"Moderate, middle of the road",Black,Protestant,Catholic,Middle Atlantic,Different state,Female,No,PA,123 Elmwood Avenue,"$20,000 to $40,000",A U.S. citizen,Working full time
3179,29,Yes,Providence,White,Other Canada,Average,"Divorce, separated",High school,Patrick,Bachelor's,Not Hispanic,Robinson,Never married,No active duty,High school,Yes,Other party,"Moderate, middle of the road",White,None,Catholic,New England,Same city,Male,Yes,RI,123 Maple Avenue,"$40,000 to $75,000",A U.S. citizen,Working part time
3197,29,Yes,Detroit,Black or African American,Egypt,Below average,Lived with parents,High school,Jaleel,Bachelor's,Not Hispanic,Hubbard,Never married,No active duty,High school,Yes,Not very strong democrat,"Moderate, middle of the road",Black,None,Christian,East North Central,Same city,Male,No,MI,1453 Eastwood Avenue,"Less than $5,000",A U.S. citizen,"Unemployed, laid off, looking for work"
