agent_id,age,born_in_us,city,detailed_race,ethnicity,family_income_at_16,family_structure_at_16,fathers_highest_degree,first_name,highest_degree_received,hispanic_origin,last_name,marital_status,military_service_duration,mothers_highest_degree,mothers_work_history,party_identification,political_views,race,religion,religion_at_16,residence_at_16,same_residence_since_16,sex,speak_other_language,state,street_address,total_wealth,us_citizenship_status,work_status
2497,33,Yes,Little Rock,White,Spain,Below average,Lived with parents,Less than high school,Melissa,Associate/junior college,Not Hispanic,Rodriguez,Separated,No active duty,Less than high school,Yes,"Independent (neither, no response)",Slightly conservative,White,None,None,West South Central,Different state,Female,No,AR,123 Elmwood Ave,"Less than $5,000",A U.S. citizen,Working full time
2930,35,Yes,Raleigh,Black or African American,Dominican Republic,Below average,Lived with parents,Less than high school,Malcolm,Associate/junior college,Not Hispanic,Rodriguez,Divorced,No active duty,High school,Yes,"Independent (neither, no response)","Moderate, middle of the road",Black,None,Catholic,South Atlantic,Different state,Male,Yes,NC,123 Elmwood Avenue,"Less than $5,000",A U.S. citizen,Working full time
2649,37,Yes,Austin,Hispanic or Latino,Mexico,Average,Lived with parents,Less than high school,Carlos,Associate/junior college,Not Hispanic,Martinez,Never married,No active duty,Less than high school,Yes,Strong democrat,Liberal,White,None,Protestant,West South Central,Same city,Male,Yes,TX,123 Elm Street,"$40,000 to $75,000",A U.S. citizen,Working part time
0630,40,Yes,New York,White,Italy,Below average,Lived with parents,Less than high school,Anthony,Associate/junior college,Not Hispanic,Bennett,Divorced,No active duty,High school,Yes,Strong democrat,Extremely liberal,White,None,None,Middle Atlantic,Same city,Male,Yes,NY,123 Maple Avenue,"$20,000 to $40,000",A U.S. citizen,Working full time
0184,41,No,Raleigh,Hispanic or Latino,Other Central America,Average,Lived with parents,Less than high school,Victor,Associate/junior college,Not Hispanic,Martinez,Married,No active duty,High school,Yes,"Independent (neither, no response)","Moderate, middle of the road",Other,None,None,South Atlantic,Different state,Male,No,NC,123 Elm Street,"$20,000 to $40,000",A U.S. citizen,Working full time
0706,45,Yes,Madison,White,England & Wales,Average,Lived with parents,Less than high school,Andrew,Associate/junior college,Not Hispanic,Richardson,Never married,No active duty,High school,Yes,"Independent (neither, no response)",Slightly conservative,White,Buddhism,Protestant,East North Central,"Same state, different city",Male,No,WI,123 Elm Street,"$150,000 to $250,000",A U.S. citizen,Working full time
1564,45,Yes,Portland,White,England & Wales,Below average,Parent died,Less than high school,Carolyn,Associate/junior college,Not Hispanic,Gardiner,Divorced,No active duty,Less than high school,Yes,Other party,"Moderate, middle of the road",White,Protestant,Protestant,Pacific,Same city,Female,No,OR,1438 SE Hawthorne Blvd,"$40,000 to $75,000",A U.S. citizen,Other
1852,48,Yes,Newark,Black or African American,American Indian,Average,Lived with parents,Less than high school,David,Associate/junior college,Not Hispanic,Johnson,Never married,No active duty,High school,Yes,Not very strong democrat,Liberal,Black,Protestant,Protestant,Middle Atlantic,"Same state, different city",Male,No,NJ,123 Maple Drive,"$20,000 to $40,000",A U.S. citizen,Working full time
1834,53,Yes,Portsmouth,White,Poland,Average,Lived with parents,Less than high school,Daniel,Associate/junior college,Not Hispanic,Kozlow,Never married,No active duty,Associate/junior college,Yes,"Independent (neither, no response)",Conservative,White,Catholic,Catholic,New England,"Same state, different city",Male,No,NH,123 Maple Avenue,"$40,000 to $75,000",A U.S. citizen,"With a job, but not at work because of temporary illness, vacation, strike"
2097,53,No,Providence,Black or African American,Other Africa,Above average,Lived with parents,Less than high school,Eric,Associate/junior college,Not Hispanic,King,Married,No active duty,Bachelor's,Yes,Strong democrat,Liberal,Black,Protestant,Protestant,New England,"Same state, different city",Male,Yes,RI,78 Elmwood Avenue,"$20,000 to $40,000",A U.S. citizen,In school
1230,55,Yes,Montgomery,White,Scotland,Far below average,Lived with parents,Less than high school,Pamela,Associate/junior college,Not Hispanic,Mcmanus,Never married,No active duty,High school,Yes,Strong republican,Conservative,White,Protestant,Protestant,East South Central,Same city,Female,No,AL,1423 Maple Street,"Less than $5,000",A U.S. citizen,Working full time
1718,56,Yes,Little Rock,White,Ireland,Below average,Lived with parents,Less than high school,Kathleen,Associate/junior college,Not Hispanic,Brown,Married,No active duty,High school,Yes,"Independent, close to republican",Conservative,White,Protestant,Protestant,West South Central,"Same state, different city",Female,Yes,AR,123 Oak Ridge Drive,"$40,000 to $75,000",A U.S. citizen,Keeping house
1113,57,No,Fort Lee,White,Colombia,Below average,Lived with parents,Less than high school,Susan,Associate/junior college,Not Hispanic,Gomez,Married,No active duty,Less than high school,No,Not very strong republican,Conservative,White,Jewish,Orthodox-Christian,Foreign,Different state,Female,Yes,NJ,2345 Magnolia Avenue,"$40,000 to $75,000",A U.S. citizen,Working full time
3339,58,Yes,Birmingham,Native American or Alaska Native,American Indian,Below average,Lived with parents,Less than high school,Cedric,Associate/junior college,Not Hispanic,Redfeather,Never married,"Yes, less than 2 years",Less than high school,Yes,Strong democrat,"Moderate, middle of the road",Other,Christian,Protestant,East South Central,Different state,Male,Yes,AL,234 Elmwood Avenue,"Less than $5,000",A U.S. citizen,Working full time
0269,60,Yes,Chicago,Black or African American,Other Africa,Below average,"Divorce, separated",Less than high school,James,Associate/junior college,Not Hispanic,Williams,Married,No active duty,High school,Yes,Strong democrat,"Moderate, middle of the road",Black,Protestant,Protestant,East North Central,Same city,Male,No,IL,123 Elmwood Ave,"$5,000 to $20,000",A U.S. citizen,Working part time
1651,60,Yes,Charleston,White,Austria,Average,Lived with parents,Less than high school,Debra,Associate/junior college,Not Hispanic,Edwards,Married,No active duty,High school,Yes,"Independent (neither, no response)","Moderate, middle of the road",White,Christian,Catholic,South Atlantic,"Same state, different city",Female,No,SC,123 Magnolia Lane,"$75,000 to $100,000",A U.S. citizen,Working full time
2367,60,No,Edison,Asian,India,Below average,Lived with parents,Less than high school,Rajesh,Associate/junior college,Not Hispanic,Patel,Married,No active duty,Less than high school,Yes,Strong democrat,Liberal,Other,Other eastern religions,Other eastern religions,Foreign,Different state,Male,Yes,NJ,1234 Elmwood Drive,"$20,000 to $40,000",A U.S. citizen,Working full time
2244,61,Yes,Birmingham,White,Other North America,Average,Lived with parents,Less than high school,Phyllis,Associate/junior college,Not Hispanic,Thompson,Married,No active duty,Less than high school,Yes,Strong republican,Extremely liberal,White,Protestant,Protestant,East South Central,"Same state, different city",Female,No,AL,4821 Maplewood Avenue,"$75,000 to $100,000",A U.S. citizen,Working full time
1290,63,Yes,Charleston,White,Germany,Average,Lived with parents,Less than high school,George,Associate/junior college,Not Hispanic,Kallam,Divorced,No active duty,High school,No,"Independent (neither, no response)",Conservative,Other,Protestant,Protestant,South Atlantic,"Same state, different city",Male,No,SC,123 Magnolia Drive,"$40,000 to $75,000",A U.S. citizen,Working part time
3279,63,Yes,Naperville,White,French Canada,Average,Lived with parents,Less than high school,Gerald,Associate/junior college,Not Hispanic,Thompson,Married,"Yes, more than 4 years",High school,No,Strong republican,Conservative,White,Protestant,Protestant,East North Central,"Same state, different city",Male,No,IL,123 Lakewood Drive,"$500,000 to $1 million",A U.S. citizen,Working full time
2705,64,Yes,San Antonio,Hispanic or Latino,Mexico,Below average,"Divorce, separated",Less than high school,Miguel,Associate/junior college,Not Hispanic,Hernandez,Married,No active duty,High school,Yes,Strong republican,Conservative,White,Christian,Catholic,West South Central,Same city,Male,Yes,TX,123 Elm Street,"Less than $5,000",A U.S. citizen,Working full time
0310,65,Yes,Madison,White,Germany,Below average,Lived with parents,Less than high school,Linda,Associate/junior college,Not Hispanic,Gibson,Divorced,No active duty,Associate/junior college,Yes,"Independent, close to democrat","Moderate, middle of the road",White,Protestant,Catholic,East North Central,Different state,Female,No,WI,1423 Maplewood Avenue,"$40,000 to $75,000",A U.S. citizen,Working full time
2054,65,Yes,Harrisburg,White,Ireland,Average,Lived with parents,Less than high school,Margaret,Associate/junior college,Not Hispanic,Murrell,Married,No active duty,Less than high school,Yes,"Independent, close to democrat","Moderate, middle of the road",White,Catholic,Catholic,Middle Atlantic,Different state,Female,No,PA,123 Elmwood Avenue,"$40,000 to $75,000",A U.S. citizen,Retired
1112,66,Yes,Albany,White,England & Wales,Below average,Lived with parents,Less than high school,Margaret,Associate/junior college,Not Hispanic,Smith,Never married,No active duty,Less than high school,Yes,"Independent, close to republican",Conservative,Other,Protestant,Protestant,Middle Atlantic,Same city,Female,No,NY,123 Elm Street,"$40,000 to $75,000",A U.S. citizen,Retired
1533,66,Yes,Des Moines,White,Germany,Average,Lived with parents,Less than high school,Cheryl,Associate/junior college,Not Hispanic,Harris,Married,"Yes, 2-4 years",Less than high school,Yes,Not very strong republican,"Moderate, middle of the road",White,Catholic,Catholic,West North Central,"Same state, different city",Female,No,IA,123 Elmwood Ave,"$75,000 to $100,000",A U.S. citizen,Retired
2318,66,Yes,Columbia,Black or African American,American only,Below average,Lived with parents,Less than high school,Tyrone,Associate/junior college,Not Hispanic,Johnson,Divorced,"Yes, more than 4 years",Less than high school,Yes,Strong democrat,"Moderate, middle of the road",Black,Protestant,Protestant,South Atlantic,"Same state, different city",Male,No,SC,2456 Elmwood Avenue,"Less than $5,000",A U.S. citizen,Retired
0381,68,Yes,Fresno,Hispanic or Latino,Mexico,Below average,Lived with parents,Less than high school,Maria,Associate/junior college,Not Hispanic,Martinez,Divorced,No active duty,Less than high school,Yes,"Independent, close to democrat","Moderate, middle of the road",Other,Protestant,Catholic,Pacific,"Same state, different city",Female,Yes,CA,1234 Elm Street,"Less than $5,000",A U.S. citizen,"Unemployed, laid off, looking for work"
0909,68,No,Bellevue,Asian,China,Average,Lived with parents,Less than high school,Jin,Associate/junior college,Not Hispanic,Liu,Married,No active duty,Less than high school,Yes,"Independent (neither, no response)",Slightly conservative,Other,Protestant,Protestant,Foreign,Different state,Male,Yes,WA,1234 Willow Lane,"$100,000 to $150,000",A U.S. citizen,Working full time
2311,68,Yes,Santa Barbara,White,French Guiana,Average,Lived with parents,Less than high school,Dorothy,Associate/junior college,Not Hispanic,Leach,Married,No active duty,Less than high school,Yes,"Independent (neither, no response)",Slightly liberal,White,Protestant,Protestant,Pacific,"Same state, different city",Female,Yes,CA,1234 Ocean View Drive,"$75,000 to $100,000",A U.S. citizen,Retired
0736,69,Yes,Little Rock,White,American only,Far below average,Lived with parents,Less than high school,Raymond,Associate/junior college,Not Hispanic,Griffin,Divorced,"Yes, 2-4 years",Less than high school,No,Strong democrat,"Moderate, middle of the road",White,Catholic,Catholic,West South Central,Same city,Male,Yes,AR,1426 Elm Street,"Less than $5,000",A U.S. citizen,Retired
0077,70,Yes,Charleston,White,Germany,Above average,Lived with parents,Less than high school,Raymond,Associate/junior college,Not Hispanic,Schulte,Married,No active duty,High school,Yes,Not very strong democrat,Slightly liberal,White,Catholic,Catholic,South Atlantic,"Same state, different city",Male,No,SC,1234 Magnolia Drive,"$100,000 to $150,000",A U.S. citizen,Retired
0657,70,Yes,Denver,Black or African American,Nigeria,Average,Lived with parents,Less than high school,Linda,Associate/junior college,Not Hispanic,Johnson,Divorced,No active duty,High school,No,Strong democrat,Liberal,Black,Protestant,Protestant,Mountain,Same city,Female,No,CO,742 Evergreen Terrace,"$40,000 to $75,000",A U.S. citizen,Retired
2410,71,Yes,Fort Wayne,White,Italy,Average,Lived with parents,Less than high school,Michael,Associate/junior college,Not Hispanic,Harrington,Divorced,"Yes, 2-4 years",Less than high school,Yes,Not very strong republican,Conservative,White,None,Catholic,East North Central,Same city,Male,No,IN,1234 Maple Avenue,"$20,000 to $40,000",A U.S. citizen,Retired
3070,71,Yes,Harrisburg,White,Greece,Above average,Lived with parents,Less than high school,Connie,Associate/junior college,Not Hispanic,Fotis,Divorced,No active duty,Less than high school,Yes,"Independent (neither, no response)","Moderate, middle of the road",White,Protestant,Protestant,Middle Atlantic,"Same state, different city",Female,No,PA,123 Maplewood Drive,"$75,000 to $100,000",A U.S. citizen,Retired
3321,73,Yes,Providence,White,Portugal,Below average,Lived with parents,Less than high school,Arthur,Associate/junior college,Not Hispanic,Santos,Married,"Yes, 2-4 years",High school,Yes,Strong democrat,"Moderate, middle of the road",White,None,Catholic,New England,Different state,Male,No,RI,123 Elm Street,"$20,000 to $40,000",A U.S. citizen,Retired
0611,74,Yes,Columbia,Black or African American,South Africa,Below average,Lived with parents,Less than high school,Helen,Associate/junior college,Not Hispanic,Jones,Widowed,No active duty,Less than high school,Yes,Strong democrat,"Moderate, middle of the road",Black,Christian,Protestant,South Atlantic,"Same state, different city",Female,No,SC,123 Elmwood Drive,"Less than $5,000",A U.S. citizen,Retired
3349,74,Yes,Kalamazoo,White,Poland,Average,Lived with parents,Less than high school,Howard,Associate/junior college,Not Hispanic,Peterson,Divorced,"Yes, 2-4 years",High school,Yes,"Independent, close to republican",Conservative,White,Jewish,Protestant,East North Central,Different state,Male,No,MI,123 Maple Street,"$40,000 to $75,000",A U.S. citizen,Retired
0013,75,Yes,Eugene,White,Norway,Below average,Lived with parents,Less than high school,Liam,Associate/junior college,Not Hispanic,Johnson,Married,"Yes, 2-4 years",Less than high school,Yes,Not very strong republican,"Moderate, middle of the road",White,Protestant,Protestant,Pacific,"Same state, different city",Male,No,OR,1234 Evergreen Terrace,"$75,000 to $100,000",A U.S. citizen,Working full time
1637,77,Yes,Shreveport,White,Ireland,Above average,Lived with parents,Less than high school,Walter,Associate/junior college,Not Hispanic,Fletcher,Divorced,No active duty,High school,No,Strong republican,Extremely conservative,White,None,Protestant,West South Central,Different state,Male,No,LA,123 Oakwood Lane,"$40,000 to $75,000",A U.S. citizen,Retired
2808,77,Yes,Fort Wayne,White,Ireland,Far below average,Lived with parents,Less than high school,Patricia,Associate/junior college,Not Hispanic,Mortensen,Widowed,No active duty,High school,No,Strong republican,"Moderate, middle of the road",White,Protestant,Protestant,East North Central,"Same state, different city",Female,No,IN,1723 Elmwood Avenue,"$5,000 to $20,000",A U.S. citizen,Retired
1710,78,Yes,San Antonio,Hispanic or Latino,Mexico,Average,Lived with parents,Less than high school,Mario,Associate/junior college,Not Hispanic,Garcia,Married,No active duty,Less than high school,Yes,Not very strong democrat,Slightly liberal,Other,Catholic,Catholic,West South Central,Same city,Male,Yes,TX,1234 Elm Street,"Less than $5,000",A U.S. citizen,Retired
1863,81,Yes,Charleston,White,England & Wales,Average,Lived with parents,Less than high school,Lawrence,Associate/junior college,Not Hispanic,Whitaker,Married,"Yes, 2-4 years",Less than high school,Yes,Strong republican,Conservative,White,Protestant,Protestant,South Atlantic,Same city,Male,Yes,SC,742 Evergreen Terrace,"$250,000 to $500,000",A U.S. citizen,Retired
0865,82,Yes,Charleston,White,Germany,Average,Lived with parents,Less than high school,Marilyn,Associate/junior college,Not Hispanic,Johnson,Married,No active duty,Less than high school,No,Strong republican,Conservative,White,Protestant,Protestant,South Atlantic,Same city,Female,No,SC,123 Magnolia Lane,"$75,000 to $100,000",A U.S. citizen,Retired
1147,19,Yes,Los Angeles,Hispanic or Latino,Mexico,Average,Lived with parents,High school,Maria,Associate/junior college,Not Hispanic,Garcia,Never married,No active duty,Less than high school,No,Not very strong democrat,Liberal,White,Catholic,Catholic,Pacific,"Same state, different city",Female,Yes,CA,1234 Echo Park Avenue,"Less than $5,000",A U.S. citizen,In school
2090,20,Yes,Portland,Black or African American,Finland,Average,Lived with parents,High school,Tanya,Associate/junior college,Not Hispanic,Jackson,Never married,No active duty,Associate/junior college,Yes,"Independent (neither, no response)",Conservative,Black,Protestant,Christian,Pacific,"Same state, different city",Female,No,OR,1234 Pine Street,"$40,000 to $75,000",A U.S. citizen,"With a job, but not at work because of temporary illness, vacation, strike"
2179,20,Yes,Austin,Asian,Saudi Arabia,Above average,Lived with parents,High school,Fahad,Associate/junior college,Not Hispanic,Al-Rasheed,Never married,No active duty,High school,No,Not very strong democrat,Liberal,Other,Hinduism,None,West South Central,Same city,Male,Yes,TX,1234 Elmwood Drive,"$20,000 to $40,000",A U.S. citizen,In school
3148,20,Yes,Charleston,White,Italy,Average,Lived with parents,High school,Gina,Associate/junior college,Not Hispanic,Buchanan,Never married,No active duty,High school,Yes,"Independent (neither, no response)",Slightly liberal,White,Other,Protestant,South Atlantic,"Same state, different city",Female,No,SC,123 Magnolia St,"$5,000 to $20,000",A U.S. citizen,Working part time
3154,20,Yes,Los Angeles,Hispanic or Latino,Mexico,Below average,Lived with parents,High school,Ana,Associate/junior college,Not Hispanic,Rodriguez,Never married,No active duty,Less than high school,No,"Independent (neither, no response)","Moderate, middle of the road",Other,Catholic,Catholic,Pacific,Same city,Female,Yes,CA,1234 Elmwood Ave,"Less than $5,000",A U.S. citizen,In school
0005,21,Yes,Boulder,Black or African American,Mexico,Average,"Other (left home before 16, e.g., for school)",High school,Serenity,Associate/junior college,Not Hispanic,Martinez,Never married,No active duty,High school,Yes,Not very strong democrat,Liberal,Black,None,Catholic,Mountain,"Same state, different city",Female,Yes,CO,1234 Juniper St,"Less than $5,000",A U.S. citizen,In school
0250,21,Yes,Eugene,Native American or Alaska Native,American Indian,Average,"Divorce, separated",High school,Lauren,Associate/junior college,Not Hispanic,Carter,Never married,No active duty,Bachelor's,Yes,Not very strong democrat,Liberal,White,Protestant,Protestant,Pacific,Different state,Female,Yes,OR,1234 Evergreen Terrace,"$20,000 to $40,000",A U.S. citizen,"With a job, but not at work because of temporary illness, vacation, strike"
1745,21,Yes,Chicago,White,American only,Average,Lived with parents,High school,Ethan,Associate/junior college,Not Hispanic,Mitchell,Never married,No active duty,High school,Yes,"Independent, close to democrat",Slightly conservative,White,Protestant,Protestant,East North Central,Same city,Male,No,IL,123 Maple Street,"$40,000 to $75,000",A U.S. citizen,Working full time
3272,21,Yes,Madison,White,Norway,Average,Lived with parents,High school,Ryan,Associate/junior college,Not Hispanic,Miller,Never married,No active duty,Bachelor's,Yes,Strong republican,Conservative,White,Protestant,Protestant,East North Central,Same city,Male,No,WI,1234 Maple Avenue,"$20,000 to $40,000",A U.S. citizen,Working full time
0384,22,Yes,Chicago,Hispanic or Latino,Puerto Rico,Far below average,Lived with parents,High school,Ricardo,Associate/junior college,Not Hispanic,Martinez,Never married,"Yes, less than 2 years",High school,No,"Independent (neither, no response)",Extremely liberal,White,None,None,East North Central,Same city,Male,Yes,IL,123 Elmwood Avenue,"Less than $5,000",A U.S. citizen,Other
2296,22,Yes,Berkeley,Asian,India,Above average,Lived with parents,High school,Amit,Associate/junior college,Not Hispanic,Sharma,Never married,No active duty,Less than high school,No,Not very strong democrat,Slightly liberal,Other,Hinduism,Hinduism,Pacific,Same city,Male,Yes,CA,1234 University Ave,"$20,000 to $40,000",A U.S. citizen,In school
2549,22,Yes,Portland,White,Sweden,Average,Lived with parents,High school,Emma,Associate/junior college,Not Hispanic,Anderson,Never married,No active duty,High school,Yes,Not very strong democrat,Extremely liberal,White,None,Protestant,Pacific,Same city,Female,Yes,OR,1234 Maple Avenue,"Less than $5,000",A U.S. citizen,In school
0423,23,Yes,Madison,White,American only,Average,Lived with parents,High school,Amanda,Associate/junior college,Not Hispanic,Harris,Never married,No active duty,High school,Yes,Other party,"Moderate, middle of the road",White,Protestant,None,East North Central,"Same state, different city",Female,Yes,WI,123 Elmwood Ave,"Less than $5,000",A U.S. citizen,In school
2839,23,No,El Paso,Hispanic or Latino,Mexico,Far below average,Lived with parents,High school,Gabriella,Associate/junior college,Not Hispanic,Rivera,Married,No active duty,Bachelor's,No,Not very strong republican,"Moderate, middle of the road",Other,Catholic,Catholic,Foreign,Different state,Female,Yes,TX,1234 Elm Street,"Less than $5,000",A U.S. citizen,Keeping house
1900,24,Yes,Chicago,White,Sweden,Above average,Lived with parents,High school,Eric,Associate/junior college,Not Hispanic,Anderson,Never married,No active duty,Bachelor's,Yes,Not very strong republican,Slightly conservative,White,Protestant,Protestant,East North Central,Same city,Male,No,IL,123 Elm Street,"$20,000 to $40,000",A U.S. citizen,Working full time
3156,24,Yes,Charlotte,Black or African American,Other Africa,Average,Lived with parents,High school,Alyssa,Associate/junior college,Not Hispanic,Walton,Never married,No active duty,High school,Yes,Not very strong republican,Slightly liberal,Black,None,Protestant,South Atlantic,Same city,Female,No,NC,123 Elmwood Ave,"Less than $5,000",A U.S. citizen,Working full time
3264,24,Yes,Little Rock,White,Mexico,Below average,Lived with parents,High school,Samantha,Associate/junior college,Not Hispanic,Garcia,Married,No active duty,Less than high school,Yes,"Independent, close to republican",Conservative,White,Catholic,Catholic,West South Central,Same city,Female,Yes,AR,123 Elmwood Ave,"$20,000 to $40,000",A U.S. citizen,Working full time
0511,25,Yes,Philadelphia,Black or African American,Other Africa,Below average,Lived with parents,High school,Darius,Associate/junior college,Not Hispanic,Wilson,Never married,No active duty,High school,Yes,Not very strong democrat,"Moderate, middle of the road",Black,None,Protestant,Middle Atlantic,Same city,Male,No,PA,1523 Elmwood Avenue,"$75,000 to $100,000",A U.S. citizen,Working full time
1360,25,Yes,Providence,White,Other European,Below average,Lived with parents,High school,Bryan,Associate/junior college,Not Hispanic,Douglas,Never married,No active duty,High school,Yes,Other party,Slightly conservative,White,Protestant,Protestant,New England,Same city,Male,No,RI,123 Elm Street,"Less than $5,000",A U.S. citizen,Working full time
1926,25,Yes,Milwaukee,Black or African American,American Indian,Far below average,Lived with parents,High school,Jillian,Associate/junior college,Not Hispanic,Johnson,Never married,No active duty,High school,Yes,"Independent, close to democrat","Moderate, middle of the road",Black,None,Protestant,East North Central,Same city,Female,No,WI,2344 Elmwood Ave,"Less than $5,000",A U.S. citizen,"Unemployed, laid off, looking for work"
2681,25,Yes,Los Angeles,Black or African American,Other North America,Below average,Lived with parents,High school,Jalen,Associate/junior college,Not Hispanic,Williams,Never married,No active duty,High school,Yes,Strong democrat,Slightly liberal,Black,Catholic,Protestant,Pacific,Same city,Male,No,CA,1234 Ocean Breeze Blvd,"$5,000 to $20,000",A U.S. citizen,"With a job, but not at work because of temporary illness, vacation, strike"
0233,26,Yes,Philadelphia,Hispanic or Latino,Mexico,Below average,"Divorce, separated",High school,Marisol,Associate/junior college,Not Hispanic,Rodriguez,Never married,No active duty,High school,Yes,"Independent, close to democrat","Moderate, middle of the road",Other,Catholic,Catholic,Middle Atlantic,Same city,Female,Yes,PA,123 Maple Avenue,"$40,000 to $75,000",A U.S. citizen,Working part time
0290,26,Yes,San Diego,Hispanic or Latino,Mexico,Below average,"Divorce, separated",High school,Diego,Associate/junior college,Not Hispanic,Torres,Never married,No active duty,Associate/junior college,Yes,"Independent, close to republican",Slightly conservative,Other,Catholic,Catholic,Pacific,"Same state, different city",Male,Yes,CA,1234 Elmwood Ave,"Less than $5,000",A U.S. citizen,Working full time
0556,26,Yes,Des Moines,White,Germany,Average,Lived with parents,High school,Amanda,Associate/junior college,Not Hispanic,Roberts,Never married,No active duty,Bachelor's,Yes,Not very strong republican,Extremely conservative,White,Protestant,Protestant,West North Central,"Same state, different city",Female,No,IA,123 Elmwood Avenue,"$20,000 to $40,000",A U.S. citizen,Working full time
2757,26,Yes,Philadelphia,White,Italy,Average,Lived with parents,High school,Christin,Associate/junior college,Not Hispanic,Romano,Never married,No active duty,High school,Yes,Not very strong democrat,Slightly liberal,White,Catholic,Catholic,Middle Atlantic,Same city,Female,Yes,PA,123 Elm Street,"$20,000 to $40,000",A U.S. citizen,Working full time
